"SITE_ID","UID","DATE_COL","AGGR_ECO9_2015","LAT_DD83","LON_DD83","TP","TN","DEPTH","MMI","CHLA","aqveg","Rveg","NDEP","AG_PCT","URBAN_PCT","FOREST_PCT","WETLAND_PCT","ROADDEN","POPDEN","ELEVMAX","ELEVMEAN","ELEVMIN","SHRUB_GRASS_PCT","WS_AREA","Type","PrecipNorm","TMAX","TMIN","Tsummer","PrecipSummer","PrecipWinter"
"NLA12_AL-101",7374,"7/21/2012","SAP",33.29204144,-87.3913824,25,376,13.7,25,17.52,15.5,31.3769254,3.947999,17.837766,9.487717,57.591331,1.168715,2.18218,420.96142430004,471.11,196.1540039,39.69,11.678059,10931.778,"Lake",1361.56005859375,23.9400005340576,10.5799999237061,25.2679996490479,125.729999542236,132.799995422363
"NLA12_AL-102",7228,"7/17/2012","SAP",34.22781586,-86.84344912,12,389,17.3,45.9,10,21.5,25.5380182833333,4.070879,32.693716,18.697817,32.371466,0.571261,3.97851,659.90614209,324.54,279.77,236.2,10.707485,12.2886,"Lake",1501.36999511719,21.6299991607666,9.31999969482422,23.346000289917,127.22799987793,157.899998982747
"NLA12_AL-103",7292,"7/19/2012","SAP",33.7624784,-86.05315833,56,449,6.5,NA,32,NA,NA,3.563839,16.261114,11.524195,61.358316,0.936638,2.28139,506.47511895006,1283.72,293.9790039,128.27,7.794686,20059.227,"Lake",1363.88000488281,23.0699996948242,9.47999954223633,24.3949996948242,110.316000366211,96.1699981689453
"NLA12_AL-104",7368,"7/23/2012","CPL",32.51586852,-87.86108477,37,344,19.8,41.6,8.945454545,2.5,23.1314746833333,3.766489,19.843241,6.805223,49.023247,9.843201,1.7418,224.913436605,471.11,124.865,14.73,12.360811,39858.4863,"Lake",1377.31005859375,24.1100006103516,10.9200000762939,24.4269996643066,112.687997436523,158.853332519531
"NLA12_AL-105",7394,"7/24/2012","CPL",31.62154629,-88.35373896,58,1078,5,25,35.76,4.5,21.8643678833333,3.37171,1.111964,1.687117,75.038343,0.65184,1.2611,52.315467009,90.63,66.03890137,47.1,8.473927,2.3472,"Lake",1481.07995605469,25.1599998474121,11.3500003814697,25.4849998474121,153.485997009277,132.943331400553
"NLA12_AL-112",7375,"7/22/2012","CPL",33.36486204,-88.16688028,33,379,3.8,68.8,9.386666667,5,28.8942450166667,3.697479,0,3.843365,73.096447,0.507614,1.75053,29.869059675,113.6,97.16389648,76.24,19.434372,1.2411,"Lake",1395.72998046875,23.3600006103516,10.5100002288818,24.9390003204346,121.660000610352,137.14000193278
"NLA12_AL-113",7769,"8/8/2012","CPL",30.97184148,-88.0527428,27,248,2.5,76,1.27,37,30.66925065,3.233639,3.501972,2.350797,41.583039,8.708792,3.60036,89.40024141399,93.42,58.29660156,14.07,43.255589,39.0123,"Lake",1631,25.1100006103516,12.8400001525879,26.0029998779297,210.015998840332,127.983334859212
"NLA12_AL-114",7459,"7/26/2012","SAP",33.88200988,-85.9316179,62,510,3.5,41.1,17.5,24.25,17.9304318,3.568989,22.521054,31.757674,34.827493,0.054333,1.35666,165.53635668102,299.3,194.57,171.53,5.161641,3.3129,"Lake",1363.32995605469,22.6700000762939,9.57999992370605,24.5560001373291,100.867999267578,115.463333129883
"NLA12_AR-101",7392,"7/23/2012","CPL",34.53435079,-92.26882632,88,920,1.9,22.4,52.4,20.5,26.4933338166667,4.80143,0.692205,8.454339,67.530874,7.864391,2.58785,297.94727479998,121.5,90.7875,73.39,12.281917,57.2085,"Lake",1324.9599609375,22.8899993896484,10.6700000762939,26.2759998321533,74.1440006256103,128.50333404541
"NLA12_AR-102",8144,"8/21/2012","CPL",35.58318947,-90.96294056,151,1536,1.3,29.6,74,0,22.38096015,4.60365,2.464229,2.941176,0,9.062003,0.419724,22.36779854751,74.88,70.62229981,68.67,0,1.1322,"Lake",1230.18005371094,21.5200004577637,10.2600002288818,25.5939998626709,70.319998550415,120.600001017253
"NLA12_AR-103",8217,"8/24/2012","SAP",34.41755034,-93.07012469,15,311,13.4,47.6,4.944,23.75,30.2557355333333,4.92453,10.122759,5.288672,75.858285,0.388403,1.6603,158.680140333,817.51,267.3930078,116.82,3.334581,3769.5987,"Lake",1324.25,23.0599994659424,10.0500001907349,26.3190006256104,81.5619995117188,112.743329366048
"NLA12_AR-104",7812,"8/9/2012","SAP",35.5624593,-93.63756822,30,175,9.1,35.4,6.624,4.5,24.1619710166667,5.22895,9.092916,2.392662,85.445312,0.100363,1.11274,13.04085605901,631.28,441.2239844,193.7,2.01931,44.8371,"Lake",1301.43005371094,21.5499992370605,9.4399995803833,26.0559993743896,68.92200050354,104.226666768392
"NLA12_AR-105",7409,"7/24/2012","CPL",33.07556301,-92.66059625,34,476,2.3,42.9,6.496,0,31.0398722333333,4.267849,0,7.288136,69.887006,0.39548,0.714128,42.892306392,78.94,65.76069824,54.66,12.033899,1.593,"Lake",1399.35998535156,23.9899997711182,10.8599996566772,25.7400001525879,97.5039985656738,147.893330891927
"NLA12_AR-106",8121,"8/20/2012","SAP",36.06720319,-91.14242843,107,1385,5.4,25,59.2,17,28.3807223666667,4.822529,32.982567,5.131053,53.069642,1.470044,1.30903,40.03010585301,182.07,113.132002,78.85,3.098726,51.0597,"Lake",1259.5400390625,21.3999996185303,9.64999961853027,24.8200004577637,73.5179992675781,123.879999796549
"NLA12_AR-109",7811,"8/8/2012","CPL",33.81796398,-94.05998348,39,656,7.8,60.3,10.32,2,22.7215491666667,4.17428,7.234043,15.744681,58.297873,0,1.75847,25.3867970811,128.76,115.1459961,104.9,7.659574,0.2115,"Lake",1302.91003417969,23.5900001525879,10.6899995803833,26.3380001068115,61.7,109.670000712077
"NLA12_AR-111",8145,"8/22/2012","CPL",34.60033557,-92.50069818,121,744,1.2,39.8,23.89333333,13,29.8903225,4.86136,0,47.453416,45.465838,0.496894,5.02281,3382.31985216957,142.01,126.132998,117.79,5.093168,0.7245,"Lake",1344.2099609375,22.7999992370605,10.5100002288818,26.4229995727539,99.5499992370605,133.333333333333
"NLA12_AZ-101",6187,"5/8/2012","XER",33.5692971,-111.5241427,40,321,23.3,42.6,3.228,10,20.4578015166667,2.213439,0.013214,0.573216,55.934937,0.197927,0.772016,17.5391791809,3478.71,1693.37,434.84,42.339174,16033.1346,"Lake",315,29.6700000762939,14.1800003051758,30.3210006713867,30.1980010032654,21.3166666887701
"NLA12_AZ-102",8648,"9/19/2012","WMT",34.60431345,-112.4386225,631,2045,1.6,24.4,32.3,61.6666667,23.62391465,1.340059,0,25.734595,48.131389,0.346349,4.32436,1379.16714457977,2159.33,1726.86,1567.37,24.750014,64.4436,"Lake",399.700012207031,21.1000003814697,4.46000003814697,21.3599994659424,39.5140007019043,23.7333328723907
"NLA12_AZ-103",7821,"8/9/2012","WMT",35.02357175,-111.4006586,259,1055,3.6,29,15.34,3.5,11.1420047833333,2.35027,0,0.067216,46.169978,0,0.974501,1.25983588575,2379.33,2209.7,2164.88,51.485494,33.4737,"Lake",566.700012207031,16.4599990844727,0.239999994635582,16.9459999084473,46.1239994049072,29.25
"NLA12_AZ-106",8218,"8/23/2012","XER",33.40602291,-114.7138943,37,571,4.8,35.9,5.244,66.5,26.3038258833333,0.269634,49.83989,4.871912,8.074108,10.064044,2.05561,2.8486005015,72.65,70.85779785,69.29,10.887466,3.9348,"Lake",91.370002746582,31.2900009155273,15.1300001144409,31.8780006408691,13.5979999542236,5.9400001168251
"NLA12_AZ-107",7475,"7/26/2012","XER",34.3606808,-109.363087,234,628,3.6,34.8,10.42,NA,16.7430579666667,1.806249,0.033428,1.147218,41.86478,0.196759,1.01671,26.26327300701,3478.96,2355.72,1819.09,56.39768,1938.5154,"Lake",276.140014648438,20.6100006103516,2.63000011444092,20.423999786377,26.9520000934601,9.396666487058
"NLA12_AZ-118",6192,"5/9/2012","XER",33.38131121,-111.883581,38,483,2.4,38.7,1.3,0,16.9601790833333,0.689517,0,73.668639,0,0,15.5385,6519.47084949069,368.05,366.375,365.44,2.95858,0.3042,"Lake",230.449996948242,30.2199993133545,14.6599998474121,31.4429996490479,17.689999961853,12.4933331807454
"NLA12_AZ-123",8219,"8/24/2012","XER",33.0266436,-114.5090632,392,4094,1.8,NA,253.8,0,18.85441475,0.294818,0.226741,0,0.021594,0.662228,0.069156,1.06325305476,331.36,163.4309961,57.33,98.124888,25.0065,"Lake",91.8000030517578,31.3299999237061,15.6199998855591,32.3620010375977,9.85999994277954,4.40333320697149
"NLA12_AZ-127",6281,"5/23/2012","WMT",35.28501346,-112.1541634,147,554,4.3,42.5,13.056,0,18.7658730166667,1.76029,0,3.933734,82.675274,0,1.68787,88.644220743,2569.14,2158.91,2066.98,12.482243,43.0812,"Lake",546.950012207031,17.4599990844727,1,17.3930002212524,45.9780013918877,22.8899997075399
