"UID","TN","TP","SITE_ID","DATE_COL","AGGR_ECO9_2015","LON_DD83","LAT_DD83","MMI","CHLA","ELEVMAX","ELEVMEAN","ELEVMIN","POPDEN","ROADDEN","AG_PCT","URBAN_PCT","FOREST_PCT","WETLAND_PCT","SHRUB_GRASS_PCT","WS_AREA","NDEP","DEPTH","aqveg","Rveg","Type","PrecipNorm","TMAX","TMIN","Tsummer","PrecipSummer","PrecipWinter"
10000,1316,63.7256,"FW08KS001","5-Aug-08","SPL",-98.01046463,39.01490805,39.6,8.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1719333333,0,57.6893939333333,"Stream",732.010009765625,19.9099998474121,5.94000005722046,22.0560001373291,109.818000793457,36.5166680018107
10001,2219,67.6794,"FW08KS003","11-Aug-08","SPL",-98.92627961,37.3952849,50.93,73.2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1882,2.7272727,63.1060606,"Stream",744.719970703125,21.0599994659424,6.69999980926514,23.1440002441406,80.8580001831055,45.8833328882853
10002,2024,387.3913,"FW08KS005","22-Jul-08","TPL",-95.42768365,38.19892655,17.3,50,351.62,329.86,310.082,7.388,1.726,74.404,5.156,9.362,0.072,10.276,19.977,6.167585969,0.1875,0.4545455,64.3181818333333,"Stream",1020.45001220703,19.3400001525879,7.17999982833862,22.0569995880127,169.403999328613,53.8866659800212
10003,3963,138.0413,"FW08KS006","12-Aug-08","SPL",-98.36534065,37.47701976,15.68,5.616,576.862,543.304,496.662,0.734,1.152,53.398,3.405,0.85,0.467,41.407,141.514,3.658627315,0.3841,0,59.5833333333333,"Stream",793.760009765625,20.6499996185303,6.98999977111816,22.723999786377,133.940000915527,58.4599994023641
10004,362,36.69,"FW08KS012","15-Jul-08","TPL",-96.42997007,37.78662431,77.17,3.808,502.801,428.278,349.91,0.45,0.477,6.461,2.496,2.47,0.037,87.417,101.594,5.511989653,0.6509,25.9090909,47.5378788,"Stream",965.900024414062,19.75,7.05000019073486,21.9409996032715,199.737998962402,66.42999903361
10006,1714,32.6069,"FW08KS036","25-Aug-08","SPL",-99.32134205,37.99322599,25.65,5.952,4411.51,1725.93,642.927,12.389,0.755,12.811,2.816,13.471,1.124,68.517,71565.022,1.928967479,0.0939,58.1818182,70.2651515,"Stream",641.119995117188,20.3299999237061,5.82000017166138,22.4409999847412,79.0880016326904,37.4133330980937
10007,1184,342.0175,"FW08KS039","8-Jul-08","TPL",-95.84061299,39.01570904,25.58,50.96,376.365,346.144,302.555,9.891,1.798,41.859,4.535,19.649,0.279,32.355,8.702,6.099944592,0.2297,0,56.2121212,"Stream",941.789978027344,18.6499996185303,6.71000003814697,21.52200050354,114.852000427246,69.2833312352498
10060,491,71.5725,"FW08LA011","16-Jul-08","CPL",-92.07643968,32.97480157,18.67,NA,816.023,119.437,15.703,13.614,1.361,7.231,5.362,64.231,12.805,8.653,28212.371,6.624237355,5.441176471,0.9090909,51.4393939333333,"Stream",1441.81994628906,24.2399997711182,11.039999961853,24.6309997558594,177.341998291016,106.146667480469
10109,7200,33.5163,"FW08DE002","20-Aug-08","CPL",-75.5231013,38.54260151,34.62,0.304,23.488,14.094,4.152,22.434,1.424,43.749,3.969,21.172,23.934,6.836,129.604,3.994802041,0.6,0,38.9285714333333,"Stream",1132.43994140625,19.5799999237061,7.94999980926514,22.1290000915527,90.6179992675781,79.82000096639
10828,1563,169.1581,"FW08KS033","29-Jul-08","SPL",-101.7879598,37.97450198,28.83,32.896,4411.51,1805.41,972.493,12.432,0.823,7.665,2.673,14.724,1.177,72.437,65408.338,1.769574262,0.6936,37.9545455,64.6969697,"Stream",435.799987792969,20.7999992370605,3.75999999046326,21.6580001831055,57.4199989318848,8.71666646003723
10842,1258,102.535,"FW08DE013","13-Aug-08","CPL",-75.59800358,39.7302915,28.82,48.528,107.155,50.44,19.164,1003.897,9.081,2.489,68.382,23.81,2.243,2.729,15.01,5.718546152,0.2894,0,23.5606060666667,"Stream",1147.76000976562,17.9799995422363,7.51000022888184,21.5449998855591,97.0560005187988,101.943330128988
10854,335,370.0925,"FW08NV003","16-Jun-08","XER",-116.901529,40.31657757,29,1.424,2669.31,2344.85,1987.66,0,0,0,0,28.817,0,71.183,5.284,1.0258418,0.0634,5,26.5530303,"Stream",426.829986572266,14.0200004577637,2.16000008583069,16.1190004348755,16.4239998102188,59.7200012207031
10856,256,41.2581,"FW08NV069","6-Aug-08","XER",-114.6866143,41.88666095,68.12,1.008,3100.57,1986.53,1567.1,0.025,0.302,1.105,0.236,3.931,0.545,94.164,2341.869,1.547740901,0.5216,6.3636364,47.5378788,"Stream",235.190002441406,15.9700002670288,-0.28999999165535,15.83899974823,12.4980000257492,18.9999993642171
10858,91,13.2125,"FW08NV004","9-Jul-08","XER",-115.224256,40.90311286,51.37,7.888,2538.39,2403.22,2229.78,0,0,0,0,63.62,0,36.381,1.982,1.4600669,0.1123,6.5909091,76.0606060666667,"Stream",712.849975585938,11.8100004196167,-1.30999994277954,12.3290001869202,23.3319998502731,109.473332722982
10872,168,18.155,"FW08NV005","12-Jun-08","XER",-117.0595203,39.21792949,30.53,2.16,3471.41,2554.91,1789.31,0.839,0.577,0,0.156,51.293,0.569,47.781,82.599,0.881955303,0.2726136364,37.2222222,29.4444444333333,"Stream",189.490005493164,17.7399997711182,-0.109999999403954,16.748999786377,7.09200012683868,21.3900000254313
