"UID","SITE_ID","LAT_DD83","LON_DD83","DATE_COL","AGGR_ECO9_2015","TP","TN","CHLA","MMI","ELEVMAX","ELEVMEAN","ELEVMIN","NDEP","AG_PCT","URBAN_PCT","FOREST_PCT","WETLAND_PCT","ROADDEN","Tsummer","SHRUB_GRASS_PCT","POPDEN","DEPTH","aqveg","Rveg","Type","WS_AREA","PrecipNorm","TMAX","TMIN","PrecipWinter","PrecipSummer"
2672,"NWCA11-1299",28.2749,-80.726257,"13-May-11","CPL",29,1223,6.44,63.1,9.62,8.008,6.66,2.70565,2.810439,73.931747,0,16.604531,7.00699,27.212,2.064812,3979.18292335005,1,0,11.9785714285714,"Wetland",3.14,1257.17004394531,27.2299995422363,17.5300006866455,41.0633335113525,117.464002227783
2752,"NWCA11-2432",34.18050366,-79.54721339,"11-May-11","CPL",232,1468,5.12,57.6,13.18,12.356,11.48,3.321949,0,0.287026,6.802526,90.2124,0.384001,25.67,2.698048,41.54576800101,1.1,69,12.8071428571429,"Wetland",3.14,1171.42004394531,23.8999996185303,10.6099996566772,60.9366658528646,117.432000732422
3265,"NWCA11-1011",30.89779,-87.91708,"10-May-11","CPL",96,663,11.24,65.8,0.91,0.91,0.91,3.326009,0,0,0,95.665901,0,26.916,0,69.079177284,0.3,8,34.8472222222222,"Wetland",3.14,1659.06994628906,24.9500007629395,13.8100004196167,93.6799977620443,114.890001678467
3360,"NWCA11-2055",36.086082,-77.658468,"9-May-11","CPL",46,859,4.28,42.7,35.64,34.456,32.63,3.657619,61.306965,6.706793,6.047579,22.699914,1.91124,24.558,2.292921,111.93185164902,NA,0,18.8542517006803,"Wetland",3.14,1164.51000976562,21.7399997711182,9.14000034332275,52.5833320617676,140.386000061035
3362,"NWCA11-2027",36.4237928,-77.41947906,"10-May-11","CPL",73,1388,19.87,45.4,32.35,29.834,29.1,3.736249,29.239598,2.180775,43.38594,22.984218,0.407082,24.136,2.209469,142.95268764699,NA,100,16.4193722943723,"Wetland",3.14,1175.0400390625,21.6700000762939,8.73999977111816,69.4733352661133,130.983999633789
3366,"NWCA11-2402",32.26787523,-81.12259198,"6-Apr-11","CPL",445,1988,13.08,49.3,1.26,1.207,1.12,2.748399,0,0.804135,11.257898,83.486502,0.403237,26.83,0.775417,81.505431306,0.62,55.2,22.1661375661376,"Wetland",3.14,1234.18005371094,24.8999996185303,13.4099998474121,64.113333384196,91.2480006694794
3406,"NWCA11-2777",39.04199,-79.60713,"2-Jun-11","SAP",10,254,0.56,40.5,592.37,555.474,539.03,5.04464,0.3726,4.700487,90.685011,0,1.34553,18.072,0,42.051595638,0.37,0,23.8545714285714,"Wetland",3.14,1317.59997558594,16.4400005340576,3.71000003814697,92.9366658528646,147.771997070312
3434,"NWCA11-ND-5052",46.11761,-98.87656,"16-Jun-11","NPL",129,2260,0,38.1,607.7,604.185,602.56,3.802999,20.659971,0,0.516499,3.84505,0.016037,17.025,67.374462,3.22852354461,1.4,14.6,1.63333333333333,"Wetland",3.14,526.679992675781,11.6999998092651,-0.439999997615814,26.6333332061768,74.0980007171631
3454,"NWCA11-OH-3020",40.9991539,-82.01442268,"29-Jun-11","NAP",1448,1519,3.34,25.9,277.61,275.857,275.3,5.42945,56.344887,15.095962,16.728731,10.971068,1.78293,20.181,0.143225,203.91975984198,0.18,16.2,17.3333333333333,"Wetland",3.14,978.549987792969,15.3299999237061,4.71999979019165,64.776668548584,156.827995300293
3456,"NWCA11-ND-5001",47.19957,-98.7878,"6-Jul-11","TPL",591,1685,5.39,53.4,464.81,461.185,457.73,3.525959,68.399885,0,0,0.632002,1.87645,17.17,16.058604,7.7560358538,0.55,84.8,9.6,"Wetland",3.14,489.339996337891,11.4300003051758,-1.08000004291534,20.3933328787486,111.397999572754
3468,"NWCA11-1054",34.23351,-91.96092,"2-Jun-11","CPL",355,1210,15,39.8,65.2,62.441,59.78,4.71531,48.594377,17.555938,2.725186,6.855995,8.53226,26.181,0.172117,35.82111310401,0.25,34.2,8.53666666666667,"Wetland",3.14,1318.16003417969,22.8099994659424,11.1999998092651,52.0499986012777,75.3580017089844
3484,"NWCA11-1821",45.97857,-70.14911,"13-Jul-11","NAP",16,640,5.56,65.9,461.95,456.093,453.59,2.85592,0,1.233152,44.393461,29.165472,0.324131,14.733,14.224261,0.62381981142,0.25,17,15.38,"Wetland",3.14,1148.96997070312,8.52999973297119,-2.03999996185303,83.0499979654948,205.186004638672
3486,"NWCA11-1837",46.17506001,-69.86529855,"14-Jul-11","NAP",77,1025,7.02,61.8,446.5,440.351,436.35,2.739109,0,0,28.210284,1.062913,0.269417,14.805,68.371158,0.62381981142,0.16,0.42,13.4047619047619,"Wetland",3.14,1137.66003417969,8.46000003814697,-1.94000005722046,74.2900009155273,169.613996887207
3487,"NWCA11-2225",36.97559,-104.47836,"12-Jul-11","WMT",28,785,1,14.5,2304.99,2280.16,2257.83,2.331769,0,7.251361,10.576097,2.149613,1.91002,17.236,79.822298,107.65526016102,NA,0,0.603333333333333,"Wetland",3.14,558.950012207031,16.3400001525879,1.46000003814697,19.1199998855591,52.5659999847412
3497,"NWCA11-2785",42.97109452,-110.0829822,"6-Jul-11","XER",36,193,1.03,37.3,2263.73,2262.59,2261.74,0.810922,2.582496,6.571019,0,25.365854,0.741158,10.285,65.480631,5.3475005532,0.4,99,15.7333333333333,"Wetland",3.14,331.029998779297,10.1300001144409,-6.90000009536743,28.5399996439616,27.0819999694824
3504,"NWCA11-2799",42.97682,-110.07668,"7-Jul-11","XER",51,285,1.98,28.7,2270.01,2268.54,2266.58,0.808284,13.038484,1.952901,0.373349,24.238943,1.92093,10.268,60.396324,5.6147357214,1,78,6.66666666666667,"Wetland",3.14,332.640014648438,10.1300001144409,-6.90000009536743,28.5399996439616,27.0819999694824
3505,"NWCA11-2800",43.2126,-109.99705,"25-Jul-11","XER",17,148,1.42,46.2,2355.46,2342.7,2333.07,1.15206,0,2.350244,11.98051,26.855833,2.85613,10.147,58.813413,5.6147357214,NA,0,16.9904761904762,"Wetland",3.14,467.720001220703,9.77000045776367,-6.76000022888184,51.3333346048991,30.843999671936
3529,"NWCA11-1162",39.26401,-106.25387,"3-Aug-11","WMT",69,258,1.09,68.3,3359.96,3330.85,3300.9,1.934749,0,0,90.593633,3.900201,1.25795,8.543,5.506166,26.25809302701,0.25,0.4,20.2634920634921,"Wetland",3.14,738.559997558594,6.82000017166138,-6.84999990463257,65.0499992370605,52.9440002441406
3530,"NWCA11-1174",39.26821,-106.22832,"6-Aug-11","WMT",18,188,3.62,69,3606.4,3580.21,3555.52,2.25623,0,0,26.785202,0.258102,0.257678,7.832,51.448236,27.983287956,0.2,9.6,20.7095238095238,"Wetland",3.14,858.330017089844,5.59999990463257,-6.34000015258789,111.983332316081,72.1060001373291
3532,"NWCA11-1824",44.6916,-69.29369,"26-Jul-11","NAP",66,980,4.61,60,59.83,56.918,56.73,2.55115,8.15155,2.353617,52.238806,34.988519,0.432954,17.379,2.095293,76.38683147901,NA,0,23.8333333333333,"Wetland",3.14,1121.89001464844,12.5799999237061,0.589999973773956,97.1500015258789,99.5239974975586
3544,"NWCA11-2974",39.25693,-106.25748,"3-Aug-11","WMT",7,138,NA,67.2,3283.56,3247,3230.48,1.927449,0,0,88.566504,4.768745,2.66022,8.543,6.377478,17.86523043201,1.5,35.8,23.4666666666667,"Wetland",3.14,613.010009765625,7.98999977111816,-6.28999996185303,65.0499992370605,52.9440002441406
3545,"NWCA11-OH-3006",41.465721,-83.035121,"13-Jul-11","TPL",403,2785,10.16,63.8,176.41,174.331,173.18,5.43612,10.097533,6.081469,0,76.391279,0.712346,21.165,4.04475,171.618176379,0.45,67,3.67333333333333,"Wetland",3.14,888.580017089844,14.8400001525879,5.57999992370605,62.4533335367839,137.617999267578
3630,"NWCA11-ND-5003",47.6022,-100.40842,"7-Jul-11","NPL",402,2423,17.28,49.8,561.78,559.047,557.85,3.090339,69.965576,3.384968,0,7.429719,1.10874,16.95,19.219736,3.5185532148,0.006,59.6,7.4,"Wetland",3.14,437.450012207031,11.4899997711182,-0.949999988079071,21.8366668224335,78.4499992370606
3637,"NWCA11-ND-5008",48.85367,-101.73421,"20-Jul-11","TPL",2260,2258,5.58,41.5,536.84,535.274,533.73,2.617929,91.394148,3.729202,0,1.57774,1.00406,16.458,3.29891,4.15519606671,0.7,9.6,0.833333333333333,"Wetland",3.14,438.040008544922,10.3299999237061,-2.27999997138977,20.1866664886475,86.2759998321533
3638,"NWCA11-ND-5010",46.35438,-97.46803,"5-Jul-11","TPL",393,1366,9.92,12.4,331.46,330.587,327.38,4.1841,39.753511,5.474348,1.318429,6.276871,1.31944,18.059,46.976211,6.9020902509,0.5,59,10,"Wetland",3.14,555.700012207031,12.1000003814697,-0.170000001788139,25.3233331044515,92.4439980506897
3639,"NWCA11-ND-5011",47.1843,-100.40103,"7-Jul-11","NPL",569,2173,10.88,38.3,629.67,614.643,612.45,3.296679,10.140764,1.09164,0,1.838552,0.077373,16.462,64.148233,3.9666214848,1.38,25.6,4.9,"Wetland",3.14,462.230010986328,11.3100004196167,-0.949999988079071,20.6999992529551,95.8119995117188
3640,"NWCA11-ND-5012",48.7697,-102.64413,"19-Jul-11","NPL",50,2000,2.66,45.1,729.27,726.788,724.56,2.463579,27.546628,5.394548,1.43472,3.328551,1.65845,15.87,61.233859,5.3627814942,1.2,13,0.666666666666667,"Wetland",3.14,427.010009765625,10.2200002670288,-2.53999996185303,21.6833327611287,92.988000869751
3641,"NWCA11-ND-5013",48.3898,-99.72992,"12-Jul-11","TPL",328,2640,5.2,52.3,500.22,495.204,493.23,3.12011,51.817922,1.74635,0,11.022044,0.516359,15.882,27.111366,5.74863561441,1.25,27.2,5.46666666666667,"Wetland",3.14,464.959991455078,9.88000011444092,-2.50999999046326,24.3800001144409,77.660001373291
3643,"NWCA11-ND-5006",47.82536138,-98.17375965,"11-Jul-11","TPL",348,2015,2.89,24.4,455.9,455.087,454.35,3.47878,40.551408,3.61861,0.229753,22.257324,1.60312,16.841,0.172315,7.0175002053,0.85,50.2,7.03333333333333,"Wetland",3.14,519.799987792969,10.2700004577637,-1.49000000953674,19.8933335145315,98.0900009155273
3670,"NWCA11-2012",45.45308,-113.70805,"13-Aug-11","WMT",17,295,1.18,75.1,2316.16,2286.69,2270.29,2.2715,0,0,80.963303,0,0.004824,9.973,19.036697,0.95885573784,0.2,9,19.1471861471861,"Wetland",3.14,845.409973144531,8.51000022888184,-4.19999980926514,89.8033332824707,59.5119995117187
3671,"NWCA11-2016",46.16142,-114.51113,"14-Aug-11","WMT",8,70,1.27,85,2108.53,2070.91,2052.13,3.81868,0,0,81.66476,0,0.10082,10.822,14.988559,11.7435585579,0.2,1,16.6174404761905,"Wetland",3.14,1780.56994628906,8.44999980926514,-2.71000003814697,264.069997151693,73.4139978408814
3672,"NWCA11-3816",45.06174,-113.28105,"15-Aug-11","WMT",91,373,1.19,13.9,2015.54,2011.01,2005.93,0.966775,5.379747,3.797469,3.970081,0,1.71285,11.843,86.852704,0.77131197195,NA,0.22,11.689880952381,"Wetland",3.14,442.410003662109,10.5900001525879,-2.9300000667572,21.7166662216187,39.7479998588562
3676,"NWCA11-2437",33.60622,-80.99823,"17-Aug-11","CPL",35,500,14.44,48.8,80.39,72.747,68.04,2.93719,10.42205,8.412288,38.099339,31.782946,1.87418,26.12,8.010335,112.74744726999,0.31,4,25.7930402930403,"Wetland",3.14,1175.94995117188,24.1700000762939,11.3199996948242,63.3766657511393,86.2179992675781
